"","Country","Department","Deaths"
"1","El Salvador","Ahuachapan",100
"2","Guatemala","Alta Verapaz",34
"3","Honduras","Atlantida",192
"4","Guatemala","Baja Verapaz",9
"5","Honduras","Bay Islands",6
"6","El Salvador","Cabanas",26
"7","El Salvador","Chalatenango",10
"8","Guatemala","Chimaltenango",90
"9","Guatemala","Chiquimula",56
"10","Honduras","Choluteca",42
"11","Honduras","Colon",82
"12","Honduras","Comayagua",54
"13","Honduras","Copan",75
"14","Honduras","Cortes",701
"15","El Salvador","Cuscatlan",67
"16","Honduras","El Paraiso",87
"17","Guatemala","El Progreso",16
"18","Guatemala","Escuintla",63
"19","Honduras","Francisco Morazan",627
"20","Honduras","Gracias a Dios",23
"21","Guatemala","Guatemala",1314
"22","Guatemala","Huehuetenango",18
"23","Honduras","Intibuca",14
"24","Guatemala","Izabal",75
"25","Guatemala","Jalapa",40
"26","Guatemala","Jutiapa",28
"27","El Salvador","La Libertad",133
"28","El Salvador","La Paz",105
"29","Honduras","La Paz",13
"30","El Salvador","La Union",57
"31","Honduras","Lempira",15
"32","El Salvador","Morazan",58
"33","Honduras","Ocotepeque",10
"34","Honduras","Olancho",115
"35","Guatemala","Peten",57
"36","Guatemala","Quetzaltenango",85
"37","Guatemala","Quiche",8
"38","Guatemala","Retalhuleu",29
"39","Guatemala","Sacatepequez",42
"40","Guatemala","San Marcos",30
"41","El Salvador","San Miguel",114
"42","El Salvador","San Salvador",378
"43","El Salvador","San Vicente",19
"44","El Salvador","Santa Ana",89
"45","Honduras","Santa Barbara",66
"46","Guatemala","Santa Rosa",35
"47","Guatemala","Solola",42
"48","El Salvador","Sonsonate",137
"49","Guatemala","Suchitepequez",15
"50","Guatemala","Totonicapan",6
"51","El Salvador","Usulutan",100
"52","Honduras","Valle",9
"53","Honduras","Yoro",118
"54","Guatemala","Zacapa",42
