"","Country","Department","Deaths"
"1","El Salvador","",5108
"2","Guatemala","",1973
"3","Guatemala","Alta Verapaz department",33
"4","Honduras","Atlántida department",2
"5","Guatemala","Baja Verapaz department",9
"6","El Salvador","Cabañas department",46
"7","El Salvador","Chalatenango department",284
"8","Guatemala","Chimaltenango departmant",10
"9","Guatemala","Chiquimula department",1
"10","Honduras","Copán department",7
"11","Honduras","Cortés department",160
"12","El Salvador","Cuscatlán department",8
"13","Guatemala","Escuintla department",63
"14","Honduras","Francisco Morazán department",67
"15","Guatemala","Guatemala department",126
"16","Guatemala","Huehuetenango department",79
"17","Guatemala","Izabal department",8
"18","El Salvador","La Libertad department",11
"19","El Salvador","La Paz department",23
"20","El Salvador","La Unión department",20
"21","El Salvador","Morazán department",88
"22","Guatemala","Petén department",74
"23","Guatemala","Quetzaltenango department",16
"24","Guatemala","Quiché department",215
"25","Guatemala","Retalhuleu department",10
"26","Guatemala","Sacatepéquez department",5
"27","Guatemala","San Marcos department",90
"28","El Salvador","San Miguel department",52
"29","El Salvador","San Salvador department",135
"30","El Salvador","San Vicente department",20
"31","El Salvador","Santa Ana department",1
"32","Guatemala","Santa Rosa department",19
"33","Guatemala","Sololá department",46
"34","Guatemala","Suchitepéquez department",4
"35","Guatemala","Totonicapán department",9
"36","El Salvador","Usulután department",69
"37","Guatemala","Zacapa department",11
