"femaDeclarationString","disasterNumber","state","declarationType","declarationDate","fyDeclared","incidentType","declarationTitle","ihProgramDeclared","iaProgramDeclared","paProgramDeclared","hmProgramDeclared","incidentBeginDate","incidentEndDate","disasterCloseoutDate","fipsStateCode","fipsCountyCode","placeCode","designatedArea","declarationRequestNumber","lastIAFilingDate","hash","lastRefresh","id","syDisaster","fips"
"DR-1786-LA","1786","LA","DR",2008-09-02,"2008","Hurricane","HURRICANE GUSTAV","TRUE","TRUE","TRUE","TRUE",2008-09-01,2008-09-11,NA,"22","055","99055","Lafayette (Parish)","8138","2008-12-17T00:00:00.000Z","93e4aa9d999575d34d78fbd4ce78d3712e7140df","2022-07-01T14:02:28.073Z","60c3b848a0ee349d71090a5f",2009,22055
"DR-1786-LA","1786","LA","DR",2008-09-02,"2008","Hurricane","HURRICANE GUSTAV","TRUE","TRUE","TRUE","TRUE",2008-09-01,2008-09-11,NA,"22","043","99043","Grant (Parish)","8138","2008-12-17T00:00:00.000Z","b50d6d1619f829d519d0ae5e9dcac83504bb4d9b","2022-07-01T14:02:28.058Z","60c3b848a0ee349d71090a3a",2009,22043
"DR-1786-LA","1786","LA","DR",2008-09-02,"2008","Hurricane","HURRICANE GUSTAV","TRUE","TRUE","TRUE","TRUE",2008-09-01,2008-09-11,NA,"22","045","99045","Iberia (Parish)","8138","2008-12-17T00:00:00.000Z","aa210a06281bd2e0677a711021d72e7c3891ff88","2022-07-01T14:02:28.059Z","60c3b848a0ee349d71090a3e",2009,22045
"DR-1786-LA","1786","LA","DR",2008-09-02,"2008","Hurricane","HURRICANE GUSTAV","TRUE","TRUE","TRUE","TRUE",2008-09-01,2008-09-11,NA,"22","121","99121","West Baton Rouge (Parish)","8138","2008-12-17T00:00:00.000Z","a3d037e6ff3ab139b5e537c8d81bc25905be3e60","2022-07-01T14:02:28.121Z","60c3b848a0ee349d71090b05",2009,22121
"DR-1791-TX","1791","TX","DR",2008-09-13,"2008","Hurricane","HURRICANE IKE","FALSE","FALSE","TRUE","TRUE",2008-09-07,2008-10-02,NA,"48","057","99057","Calhoun (County)","8147","2009-02-20T00:00:00.000Z","b8f0b5601251014fa289aeee56678eac8143a098","2022-07-01T14:02:27.941Z","60c3b848a0ee349d71090b96",2009,48057
"DR-1791-TX","1791","TX","DR",2008-09-13,"2008","Hurricane","HURRICANE IKE","FALSE","FALSE","TRUE","TRUE",2008-09-07,2008-10-02,NA,"48","051","99051","Burleson (County)","8147","2009-02-20T00:00:00.000Z","435ed08f29f4c90e3a19500af1194c444814e4c3","2022-07-01T14:02:27.940Z","60c3b848a0ee349d71090b93",2009,48051
"DR-1791-TX","1791","TX","DR",2008-09-13,"2008","Hurricane","HURRICANE IKE","FALSE","FALSE","TRUE","TRUE",2008-09-07,2008-10-02,NA,"48","409","99409","San Patricio (County)","8147","2009-02-20T00:00:00.000Z","4c12f212d83a2478cbac99c79932bbce14da6429","2022-07-01T14:02:27.967Z","60c3b848a0ee349d71090bd6",2009,48409
"DR-1791-TX","1791","TX","DR",2008-09-13,"2008","Hurricane","HURRICANE IKE","TRUE","TRUE","TRUE","TRUE",2008-09-07,2008-10-02,NA,"48","203","99203","Harrison (County)","8147","2009-02-20T00:00:00.000Z","257abad7a67f2e6ae641a77bce2ca88126252798","2022-07-01T14:02:27.984Z","60c3b848a0ee349d71090c27",2009,48203
"DR-1791-TX","1791","TX","DR",2008-09-13,"2008","Hurricane","HURRICANE IKE","TRUE","TRUE","TRUE","TRUE",2008-09-07,2008-10-02,NA,"48","015","99015","Austin (County)","8147","2009-02-20T00:00:00.000Z","753372edb0f8d5bdbd0bb531472f81886031afa7","2022-07-01T14:02:27.971Z","60c3b848a0ee349d71090bf7",2009,48015
"DR-1791-TX","1791","TX","DR",2008-09-13,"2008","Hurricane","HURRICANE IKE","TRUE","TRUE","TRUE","TRUE",2008-09-07,2008-10-02,NA,"48","185","99185","Grimes (County)","8147","2009-02-20T00:00:00.000Z","e4095c178a963f5443d7b91ff5f658282f60908d","2022-07-01T14:02:27.982Z","60c3b848a0ee349d71090c13",2009,48185
