"om","date","fips"
1634,2008-11-14,45033
1639,2008-11-15,37101
1640,2008-11-15,37195
1667,2008-12-10,1127
1668,2008-12-10,1071
1645,2008-12-08,48181
1651,2008-12-09,22059
1654,2008-12-09,28163
1661,2008-12-09,28121
1556,2008-09-12,22039
1596,2008-09-13,26163
1535,2008-09-03,22039
998,2009-10-27,13179
985,2009-10-29,5013
982,2009-10-29,22017
973,2009-10-29,5103
1020,2009-10-09,21171
1018,2009-10-09,21045
1130,2009-12-23,48203
1127,2009-12-23,48005
1124,2009-12-23,48419
1142,2009-12-24,22097
1143,2009-12-24,22001
1152,2009-12-24,22113
1110,2009-12-02,13229
9,2009-02-10,40109
14,2009-02-10,48000
14,2009-02-10,40067
28,2009-02-18,13317
32,2009-02-18,13199
33,2009-02-18,13141
34,2009-02-18,13131
35,2009-02-18,13275
36,2009-02-19,13275
42,2009-02-28,1081
79,2009-03-23,31089
83,2009-03-23,31109
91,2009-03-23,19085
106,2009-03-26,28127
109,2009-03-26,28067
124,2009-03-27,37155
141,2009-03-28,21225
146,2009-03-28,37017
51,2009-03-08,17083
59,2009-03-08,17189
66,2009-03-08,17191
71,2009-03-08,18093
211,2009-04-10,21047
212,2009-04-10,47149
223,2009-04-10,47153
222,2009-04-10,1095
226,2009-04-10,13055
229,2009-04-10,13119
235,2009-04-10,45001
251,2009-04-10,13141
252,2009-04-10,13073
254,2009-04-10,45003
257,2009-04-10,13033
264,2009-04-10,45005
289,2009-04-16,48227
301,2009-04-18,20055
321,2009-04-19,1009
325,2009-04-19,1113
325,2009-04-19,1000
332,2009-04-25,40047
333,2009-04-25,40047
339,2009-04-26,40129
365,2009-04-29,48443
177,2009-04-06,37017
185,2009-04-09,40079
185,2009-04-09,40000
187,2009-04-09,40089
187,2009-04-09,40000
188,2009-04-09,5113
187,2009-04-09,5133
189,2009-04-09,48067
191,2009-04-09,5061
193,2009-04-09,5091
196,2009-04-09,48000
196,2009-04-09,22017
200,2009-04-09,5003
202,2009-04-09,22049
524,2009-05-13,29001
531,2009-05-13,40015
541,2009-05-14,18051
551,2009-05-15,48179
556,2009-05-16,36023
406,2009-05-03,22127
433,2009-05-05,37195
449,2009-05-06,1083
471,2009-05-08,29067
470,2009-05-08,29067
472,2009-05-08,29059
477,2009-05-08,29105
478,2009-05-08,29091
479,2009-05-08,29091
493,2009-05-08,21079
497,2009-05-08,47151
499,2009-05-08,47025
505,2009-05-08,51195
507,2009-05-08,51167
508,2009-05-08,37005
666,2009-06-12,28033
678,2009-06-13,48207
695,2009-06-15,8039
706,2009-06-15,20047
760,2009-06-17,27099
765,2009-06-17,31081
775,2009-06-19,26005
777,2009-06-19,26077
827,2009-06-24,31149
610,2009-06-05,56015
630,2009-06-08,17163
886,2009-07-13,56011
889,2009-07-13,31031
890,2009-07-14,27151
943,2009-07-29,42089
944,2009-07-29,34037
944,2009-07-29,34000
951,2009-07-30,5001
951,2009-07-30,5000
951,2009-07-30,28027
951,2009-07-30,5107
951,2009-07-30,28027
951,2009-07-30,5107
956,2009-07-30,28033
872,2009-07-08,38089
1068,2009-08-19,17137
1062,2009-08-19,17167
1044,2009-08-19,18127
1109,2010-10-24,48349
1121,2010-10-25,1000
1121,2010-10-25,1071
1131,2010-10-26,17197
1156,2010-10-26,39011
1173,2010-10-26,47065
1175,2010-10-26,37109
1179,2010-10-26,37035
1187,2010-10-27,51083
1091,2010-10-06,4005
1092,2010-10-06,4005
1093,2010-10-06,4005
1094,2010-10-06,4005
1096,2010-10-06,4005
1203,2010-11-22,17201
1220,2010-11-29,22127
1225,2010-11-29,28163
1227,2010-11-29,28163
1231,2010-11-29,28079
1232,2010-11-29,28105
1234,2010-11-29,28095
1238,2010-11-30,28129
1247,2010-11-30,13135
1252,2010-12-14,41047
1257,2010-12-31,40000
1257,2010-12-31,40001
1257,2010-12-31,5143
1260,2010-12-31,29169
1261,2010-12-31,29161
1266,2010-12-31,29071
1270,2010-12-31,29099
1274,2010-12-31,17129
1276,2010-12-31,29035
1277,2010-12-31,29023
1280,2010-12-31,28049
6,2010-01-20,48000
6,2010-01-20,48203
7,2010-01-20,48467
6,2010-01-20,22017
10,2010-01-20,48213
18,2010-01-21,28029
26,2010-01-21,1089
39,2010-03-10,5023
57,2010-03-28,37159
58,2010-03-28,37057
60,2010-03-28,45037
61,2010-03-28,45063
32,2010-03-08,40129
118,2010-04-22,48345
120,2010-04-22,48101
138,2010-04-24,28061
140,2010-04-24,22000
140,2010-04-24,22065
140,2010-04-24,28149
140,2010-04-24,28051
148,2010-04-24,28105
149,2010-04-24,28025
158,2010-04-24,1043
164,2010-04-24,1009
165,2010-04-24,1127
166,2010-04-24,1049
167,2010-04-24,1000
167,2010-04-24,1049
168,2010-04-24,1049
169,2010-04-24,47123
172,2010-04-25,45031
173,2010-04-25,45031
185,2010-04-30,5029
192,2010-04-30,5029
193,2010-04-30,5125
195,2010-04-30,5119
196,2010-04-30,5061
197,2010-04-30,17133
202,2010-04-30,5067
251,2010-05-10,40000
251,2010-05-10,40053
257,2010-05-10,20095
270,2010-05-10,40027
274,2010-05-10,40027
279,2010-05-10,40027
283,2010-05-10,40125
285,2010-05-10,40125
286,2010-05-10,40019
287,2010-05-10,40019
293,2010-05-10,40111
296,2010-05-10,40091
298,2010-05-10,40091
305,2010-05-10,40091
311,2010-05-10,40069
324,2010-05-13,40037
326,2010-05-13,40111
327,2010-05-13,40145
328,2010-05-13,40131
330,2010-05-13,40131
341,2010-05-14,48135
371,2010-05-18,48233
374,2010-05-18,56021
420,2010-05-22,46129
425,2010-05-22,46045
429,2010-05-22,46013
430,2010-05-22,46123
431,2010-05-22,31103
432,2010-05-23,48389
436,2010-05-23,35000
436,2010-05-23,35059
442,2010-05-23,35059
450,2010-05-24,46093
456,2010-05-24,46105
457,2010-05-24,46105
503,2010-05-31,8009
505,2010-05-31,8009
216,2010-05-02,21075
221,2010-05-02,47053
222,2010-05-02,28000
222,2010-05-02,28009
223,2010-05-02,21047
222,2010-05-02,47069
226,2010-05-02,47109
227,2010-05-02,28071
230,2010-05-02,47081
